State,Median Age
Alabama,39.3
Alaska,35.0
Arizona,38.1
Arkansas,38.3
California,37.0
Colorado,37.1
Connecticut,41.0
Delaware,41.1
District of Columbia,34.3
Florida,42.3
Georgia,37.1
Hawaii,39.6
Idaho,36.8
Illinois,38.5
Indiana,37.9
Iowa,38.3
Kansas,37.0
Kentucky,39.0
Louisiana,37.4
Maine,44.7
Maryland,38.9
Massachusetts,39.6
Michigan,39.8
Minnesota,38.2
Mississippi,37.8
Missouri,38.8
Montana,40.0
Nebraska,36.7
Nevada,38.3
New Hampshire,43.0
New Jersey,40.0
New Mexico,38.3
New York,39.2
North Carolina,39.0
North Dakota,35.2
Ohio,39.4
Oklahoma,36.8
Oregon,39.6
Pennsylvania,40.8
Rhode Island,40.0
South Carolina,39.8
South Dakota,37.1
Tennessee,38.8
Texas,35.0
Utah,31.3
Vermont,42.7
Virginia,38.5
Washington,37.9
West Virginia,42.6
Wisconsin,39.6
Wyoming,38.2
Puerto Rico,43.1
